DEPTO;TIPOLOGIA;SUPERFICIE UTIL;SUPERFICIE TERRAZA;SUPERFICIE TOTAL;Orientacion;ESTACIONAMIENTO;BODEGA;Valor;Bono Vendedor;PISO;PRORRATEO;ROL DEPTO;ROL BODEGA
902;A;;;;;119;60;;;9;;04535-00091;04535-00285
903;B;;;;;165;66;;;9;;04535-00092;04535-00291
904;A;;;;;127;59;;;9;;04535-00093;04535-00284
905;A;;;;;118;58;;;9;;04535-00094;04535-00283
906;A;;;;;128;55;;;9;;04535-00095;04535-00280
907;A;;;;;117;32;;;9;;04535-00096;04535-00257
908;A;;;;;140;41;;;9;;04535-00097;04535-00266
909;B;;;;;161;12;;;9;;04535-00098;04535-00237
910;B;;;;;160;69;;;9;;04535-00099;04535-00294
911;A;;;;;116;53;;;9;;04535-00100;04535-00278
912;A;;;;;139;47;;;9;;04535-00101;04535-00272
1001;A;;;;;149;1;;;10;;04535-00102;04535-00226
1002;A;;;;;148;42;;;10;;04535-00103;04535-00267
1003;B;;;;;162;62;;;10;;04535-00104;04535-00287
1004;A;;;;;147;63;;;10;;04535-00105;04535-00288
1005;A;;;;;123;15;;;10;;04535-00106;04535-00240
1006;A;;;;;122;70;;;10;;04535-00107;04535-00295
1007;A;;;;;124;3;;;10;;04535-00108;04535-00228
1008;A;;;;;121;2;;;10;;04535-00109;04535-00227
1009;B;;;;;163;17;;;10;;04535-00110;04535-00242
1010;B;;;;;164;8;;;10;;04535-00111;04535-00233
1011;A;;;;;28;19;;;10;;04535-00112;04535-00244
1012;A;;;;;120;5;;;10;;04535-00113;04535-00230
