DEPTO;TIPOLOGIA;SUPERFICIE UTIL;SUPERFICIE TERRAZA;SUPERFICIE TOTAL;Orientacion;ESTACIONAMIENTO;BODEGA;Valor;Bono Vendedor;PISO;PRORRATEO;ROL DEPTO;ROL BODEGA
824;A;51.64;3.42;55.06;NORTE;66;157;2749;0;8;0,87248675;04535-00201;04535-00382
913;A;51.64;3.42;55.06;NORTE;208;152;2760;0;9;0,869703698;04535-00202;04535-00377
914;A;51.64;3.42;55.06;NORTE;209;148;2760;0;9;0,867229874;04535-00203;04535-00373
915;B;59.71;4.54;64.25;ORIENTE;171;177;3403;0;9;1,015504691;04535-00204;04535-00402
916;A;51.64;3.42;55.06;SUR;38;137;2744;0;9;0,842646249;04535-00205;04535-00362
917;A;51.64;3.42;55.06;SUR;37;138;2744;0;9;0,846202371;04535-00206;04535-00363
918;A;51.64;3.42;55.06;SUR;36;139;2744;0;9;0,86166377;04535-00207;04535-00364
919;A;51.64;3.42;55.06;SUR;35;140;2744;0;9;0,859653788;04535-00208;04535-00365
920;A;51.64;3.42;55.06;SUR;34;141;2744;0;9;0,846666213;04535-00209;04535-00366
921;B;59.71;4.54;64.25;PONIENTE;175;210;3560;0;9;1,029110722;04535-00210;04535-00435
922;B;59.71;4.54;64.25;NORTE;176;175;3517;0;9;0,993085662;04535-00211;04535-00400
923;A;51.64;3.42;55.06;NORTE;61;156;2760;0;9;0,867229874;04535-00212;04535-00381
924;A;51.64;3.42;55.06;NORTE;62;171;2760;0;9;0,875269801;04535-00213;04535-00396
1013;A;51.64;3.42;55.06;NORTE;204;185;2770;0;10;0,87325982;04535-00214;04535-00410
1014;A;51.64;3.42;55.06;NORTE;205;196;2770;0;10;0,871559066;04535-00215;04535-00421
1015;B;59.71;4.54;64.25;ORIENTE;174;170;3427;0;10;1,022307707;04535-00216;04535-00395
1016;A;51.64;3.42;55.06;SUR;43;168;2755;0;10;0,842955477;04535-00217;04535-00393
1017;A;51.64;3.42;55.06;SUR;42;133;2755;0;10;0,846202371;04535-00218;04535-00358
1018;A;51.64;3.42;55.06;SUR;41;134;2755;0;10;0,86166377;04535-00219;04535-00359
1019;A;51.64;3.42;55.06;SUR;40;135;2755;0;10;0,859653788;04535-00220;04535-00360
1020;A;51.64;3.42;55.06;SUR;39;136;2755;0;10;0,846666213;04535-00221;04535-00361
1021;B;59.71;4.54;64.25;PONIENTE;172;199;3583;0;10;1,044726735;04535-00222;04535-00424
1022;B;59.71;4.54;64.25;NORTE;173;182;3517;0;10;1,006691694;04535-00223;04535-00407
1023;A;51.64;3.42;55.06;NORTE;206;154;2770;0;10;0,870631382;04535-00224;04535-00379
1024;A;51.64;3.42;55.06;NORTE;207;216;2770;0;10;0,873414434;04535-00225;04535-00441
